"location";"region"
"Aabenraa-DK";"Syddanmark"
"Aalborg-DK";"Nordjylland"
"Aalestrup-DK";"Nordjylland"
"Aarhus-DK";"Midtjylland"
"Allerød-DK";"Hovedstaden"
"Karmøy-NO";"Rogaland"
"Arjeplog-SE";"Norrbotten"
"Asker-SE";"Viken"
"Ballerup-DK";"Hovedstaden"
"Bergen-NO";"Vestland"
"Boden-SE";"Norrbotten"
"Borlänge-SE";"Dalarna"
"Borås-SE";"Västra Götaland"
"Brabrand-DK";"Midtjylland"
"Brøndby-DK";"Hovedstaden"
"Copenhagen-DK";"Hovedstaden"
"Drammen-NO";"Viken"
"Egersund-NO";"Rogaland"
"Enköping-SE";"Uppsala"
"Esbjerg-DK";"Syddanmark"
"Eskilstuna-SE";"Södermanland"
"Falkenberg-SE";"Halland"
"Falun-SE";"Dalarna"
"Finspång-SE";"Östergötland"
"Florø-NO";"Vestland"
"Fornebu-NO";"Oslo"
"Fredericia-DK";"Syddanmark"
"Frederikshavn-DK";"Nordjylland"
"Frederikssund-DK";"Hovedstaden"
"Frederiksværk-DK";"Hovedstaden"
"Gentofte-DK";"Hovedstaden"
"Give-DK";"Midtjylland"
"Gotland-SE";"Gotland"
"Grimstad-NO";"Agder"
"Grindsted-DK";"Syddanmark"
"Gällivare-SE";"Norrbotten"
"Gävle-SE";"Gävleborg"
"Göteborg-SE";"Västra Götaland"
"Hammerfest-NO";"Troms og Finnmark"
"Harstad-NO";"Troms og Finnmark"
"Haslev-DK";"Sjælland"
"Haugesund-NO";"Rogaland"
"Helsingborg-SE";"Skåne"
"Herlev (Copenhagen)-DK";"Hovedstaden"
"Herning-DK";"Midtjylland"
"Hillerød-DK";"Hovedstaden"
"Hobro-DK";"Nordjylland"
"Hofors-SE";"Gävleborg"
"Holstebro-DK";"Midtjylland"
"Hordvik-NO";"Vestland"
"Horsens-DK";"Midtjylland"
"Horten-NO";"Vestfold og Telemark"
"Hundvåg-NO";"Rogaland"
"Hvidovre-DK";"Hovedstaden"
"Hørsholm-DK";"Hovedstaden"
"Høvik-NO";"Viken"
"Karlstad-SE";"Värmland"
"Kassø (Aabenraa)-DK";"Syddanmark"
"Kiruna-SE";"Norrbotten"
"Kjeller-NO";"Oslo"
"Klampenborg-SE";"Sjælland"
"Kokstad (Bergen)-NO";"Vestland"
"Kolding-DK";"Syddanmark"
"Kongsberg-NO";"Viken"
"Kopervik-NO";"Rogaland"
"Kramfors-SE";"Västernorrland"
"Kristiansand-SE";"Västra Götaland"
"Kristiansund-NO";"Møre og Romsdal"
"Kjørsvikbugen-NO";"Troms og Finnmark"
"Landskrona-SE";"Skåne"
"Lillesand-NO";"Agder"
"Lillestrøm-NO";"Viken"
"Linköping-SE";"Östergötland"
"Ludvika-SE";"Dalarna"
"Luleå-SE";"Norrbotten"
"Lund-SE";"Skåne"
"Lyngby-DK";"Hovedstaden"
"Lysaker-NO";"Oslo"
"Lørenskog-NO";"Oslo"
"Malmö-SE";"Skåne"
"Mandal-NO";"Agder"
"Mariestad-SE";"Västra Götaland"
"Middelfart-DK";"Syddanmark"
"Mo i Rana-NO";"Nordland"
"Mongstad (Alver)-NO";"Vestland"
"Moss-NO";"Viken"
"Måde (Esbjerg)-DK";"Syddanmark"
"Mönsterås-SE";"Kalmar"
"Nesttun-NO";"Vestland"
"Norrköping-SE";"Östergötland"
"Notodden-NO";"Telemark"
"Nyköping-SE";"Södermanland"
"Nærum-DK";"Hovedstaden"
"Odense-DK";"Syddanmark"
"Oskarshamn-SE";"Kalmar"
"Oslo-NO";"Oslo"
"Piteå-SE";"Norrbotten"
"Porsgrunn-NO";"Telemark"
"Ranheim (Trondheim)-NO";"Trøndelag"
"Risskov-DK";"Midtjylland"
"Rong-NO";"Vestland"
"Roskilde-DK";"Sjælland"
"Rødby-DK";"Sjælland"
"Sandane-NO";"Vestland"
"Sandefjord-NO";"Vestfold og Telemark"
"Sandnes-NO";"Rogaland"
"Sandsli-NO";"Vestland"
"Sandtorg-NO";"Troms og Finnmark"
"Sandvika-NO";"Viken"
"Sandviken-SE";"Gävleborg"
"Sarpsborg-NO";"Viken"
"Seljord-NO";"Vestfold og Telemark"
"Silkeborg-DK";"Midtjylland"
"Skanderborg-DK";"Midtjylland"
"Skellefteå-SE";"Västerbotten"
"Skive-DK";"Midtjylland"
"Skjern-DK";"Midtjylland"
"Skjetten-NO";"Viken"
"Skærbæk (Fredericia)-DK";"Syddanmark"
"Slagelse-DK";"Sjælland"
"Solna-SE";"Stockholm"
"Stavanger-NO";"Rogaland"
"Steinkjer-NO";"Trøndelag"
"Stenungsund-SE";"Västra Götaland"
"Stjørdal-NO";"Trøndelag"
"Stockholm-SE";"Stockholm"
"Stord-NO";"Vestland"
"Stryn-NO";"Vestland"
"Strømmen-NO";"Oslo"
"Støvring-DK";"Midtjylland"
"Sundsvall-SE";"Västernorrland"
"Surahammar-SE";"Västmanland"
"Svendborg-DK";"Syddanmark"
"Svinninge (Holbæk)-DK";"Sjælland"
"Sollefteå-SE";"Västernorrland"
"Södertälje-SE";"Stockholm"
"Søborg-DK";"Hovedstaden"
"Sønderborg-DK";"Syddanmark"
"Tananger-NO";"Rogaland"
"Tanum-SE";"Västra Götaland"
"Viborg-DK";"Midtjylland"
"Tranby-NO";"Viken"
"Trelleborg-SE";"Skåne"
"Trollhättan-SE";"Västra Götaland"
"Trondheim-NO";"Trøndelag"
"Ulsteinvik-NO";"Møre og Romsdal"
"Umeå-SE";"Västerbotten"
"Uppsala-SE";"Uppsala"
"Varberg-SE";"Halland"
"Vedbæk-DK";"Hovedstaden"
"Vejen-DK";"Syddanmark"
"Vejle-DK";"Syddanmark"
"Vennesla-NO";"Agder"
"Verdalsøra-NO";"Trøndelag"
"Vestby-NO";"Viken"
"Viby (Roskilde)-DK";"Hovedstaden"
"Virum (Denmark)-DK";"Hovedstaden"
"Volda-NO";"Møre og Romsdal"
"Vordingborg-DK";"Sjælland"
"Västerås-SE";"Västmanland"
"Växjö-SE";"Kronoberg"
"Ågotnes-NO";"Vestland"
"Ålestrup-DK";"Nordjylland"
"Ålesund-NO";"Møre og Romsdal"
"Ånge-SE";"Västernorrland"
"Årdal-NO";"Vestland"
"Örebro-SE";"Örebro"
"Örnsköldsvik-SE";"Västernorrland"
"Östersund-SE";"Jämtland"
