Country,Industry_Sector,n
DK,Chemicals,31
NO,Chemicals,6
SE,Chemicals,0
DK,Consulting,44
NO,Consulting,336
SE,Consulting,44
DK,Energy technology manufacturer,36
NO,Energy technology manufacturer,316
SE,Energy technology manufacturer,33
DK,Energy Utility,59
NO,Energy Utility,88
SE,Energy Utility,78
DK,Government/Public sector,15
NO,Government/Public sector,14
SE,Government/Public sector,14
DK,Hydrogen technology manufacturer,59
NO,Hydrogen technology manufacturer,62
SE,Hydrogen technology manufacturer,3
DK,Iron/steel/mining,0
NO,Iron/steel/mining,20
SE,Iron/steel/mining,6
DK,Legal/HR/Economics,10
NO,Legal/HR/Economics,27
SE,Legal/HR/Economics,5
DK,Oil/gas/refinery,1
NO,Oil/gas/refinery,55
SE,Oil/gas/refinery,0
DK,Other,20
NO,Other,11
SE,Other,14
DK,Other manufacturing,26
NO,Other manufacturing,49
SE,Other manufacturing,19
DK,Research/Education,53
NO,Research/Education,59
SE,Research/Education,32
DK,Transport,0
NO,Transport,10
SE,Transport,1
